n_patients,n_positive,positive_rate,auc,ap,country_iso,wb_group,top_feature_1_name,top_feature_1_importance,top_feature_2_name,top_feature_2_importance,top_feature_3_name,top_feature_3_importance,top_feature_4_name,top_feature_4_importance,top_feature_5_name,top_feature_5_importance,top_feature_6_name,top_feature_6_importance,top_feature_7_name,top_feature_7_importance,top_feature_8_name,top_feature_8_importance,top_feature_9_name,top_feature_9_importance,top_feature_10_name,top_feature_10_importance
574,90.0,0.156794425087108,0.6745867768595042,0.30028929031350243,GB,2,admission_prior,0.10159128,pre_urgency_Elective,0.085092284,has_bleeding,0.07797917,op_performed_stc_nan,0.069955036,asa,0.06756406,age_years,0.059625175,has_bile_spilt,0.058291357,op_anaes_regional_Spine-related,0.058184475,pre_indication_tg,0.050872225,op_contam,0.047469527
478,67.0,0.1401673640167364,0.821113411046955,0.44075931670398827,IN,0,op_nassar,0.09730286,admission_prior,0.09041823,comorb_n,0.065491945,op_cvs_to,0.06543307,pre_urgency_Elective,0.060672082,asa,0.05688618,has_bile_spilt,0.053211283,op_performed_stc_nan,0.0513349,op_contam,0.050256494,has_bleeding,0.049318943
367,47.0,0.12806539509536785,0.7432845744680852,0.36356780422499646,IT,2,admission_prior,0.09981374,pre_urgency_Elective,0.08205933,asa,0.061758764,has_bleeding,0.060873233,op_performed_stc_nan,0.059882082,has_bile_spilt,0.05966042,pre_indication_tg,0.055415872,op_cbd_explore_No,0.051290657,op_contam,0.049064245,frailty,0.048230518
330,49.0,0.1484848484848485,0.7345486237199507,0.36590335319942835,US,2,op_nassar,0.09160172,admission_prior,0.08619086,comorb_n,0.071338974,pre_urgency_Elective,0.068302475,op_cvs_to,0.056986388,asa,0.056476362,op_contam,0.056275737,has_bleeding,0.052800138,has_bile_spilt,0.048075277,pre_indication_tg,0.047853734
322,68.0,0.2111801242236025,0.6878763316350162,0.3783956627493914,AU,2,admission_prior,0.10499973,pre_urgency_Elective,0.082475565,has_bleeding,0.07689796,op_performed_stc_nan,0.07596256,asa,0.06907303,has_bile_spilt,0.05858165,age_years,0.057618625,op_anaes_regional_Spine-related,0.052678924,pre_indication_tg,0.04649118,op_contam,0.04597024
239,40.0,0.16736401673640167,0.8302763819095478,0.6443527626713477,MX,1,op_nassar,0.12454004,op_cvs_to,0.10353331,admission_prior,0.09352437,comorb_n,0.08928333,has_stones_spilt,0.054888844,has_bile_spilt,0.053677153,pre_urgency_Elective,0.05320954,asa,0.048664354,op_contam,0.048275627,op_performed_stc_nan,0.042196117
218,33.0,0.15137614678899083,0.8774774774774774,0.61186385605325,PK,0,admission_prior,0.091567196,op_nassar,0.0867672,has_bleeding,0.06594714,pre_urgency_Elective,0.06484614,asa,0.06180573,comorb_n,0.05624348,op_anaes_regional_Spine-related,0.056193028,has_bile_spilt,0.055223044,op_performed_stc_nan,0.05261859,op_contam,0.051100828
200,40.0,0.2,0.71546875,0.38553499858424245,ES,2,admission_prior,0.09734301,pre_urgency_Elective,0.07724855,has_bleeding,0.072016925,asa,0.062023558,op_performed_stc_nan,0.061212134,has_bile_spilt,0.057195134,age_years,0.053868156,op_anaes_regional_Spine-related,0.051143188,op_contam,0.049558558,pre_indication_tg,0.04672802
194,42.0,0.21649484536082475,0.7830513784461153,0.5186335734096506,TR,1,admission_prior,0.09675154,op_performed_stc_nan,0.09655036,has_bleeding,0.08371063,asa,0.08092137,op_anaes_regional_Spine-related,0.07729196,pre_urgency_Elective,0.068294734,age_years,0.062727734,has_bile_spilt,0.062243067,op_contam,0.04623459,op_anaes_inhaled_Sevoflurane,0.042118732
149,19.0,0.12751677852348994,0.6748987854251011,0.3033249912103431,PT,2,has_bleeding,0.088820405,admission_prior,0.08792457,pre_urgency_Elective,0.07977456,op_anaes_regional_Spine-related,0.06881652,age_years,0.067845486,asa,0.06546527,op_performed_stc_nan,0.06544444,op_contam,0.050996963,has_bile_spilt,0.048733756,op_anaes_inhaled_Sevoflurane,0.0480102
132,25.0,0.1893939393939394,0.8444859813084111,0.6596085268442232,EG,0,op_cvs_to,0.17355096,admission_prior,0.08892331,op_anaes_inhaled_Sevoflurane,0.08249184,op_nassar,0.077430405,comorb_n,0.068132535,has_bile_spilt,0.053313598,pre_urgency_Elective,0.051045883,asa,0.045714643,op_performed_stc_nan,0.04362446,hist_ac,0.03936562
131,19.0,0.1450381679389313,0.737312030075188,0.34461062576412227,GR,2,admission_prior,0.097376525,pre_urgency_Elective,0.06903751,has_bile_spilt,0.06271089,op_cvs_to,0.057741895,asa,0.0567249,op_nassar,0.05565529,comorb_n,0.052623395,has_bleeding,0.051953897,pre_indication_tg,0.05050185,op_cbd_explore_No,0.050203204
123,15.0,0.12195121951219512,0.8123456790123457,0.4433182596436231,CO,1,op_nassar,0.111156195,comorb_n,0.09290621,op_cvs_to,0.089946575,admission_prior,0.0872043,pre_urgency_Elective,0.06078723,op_contam,0.055700533,frailty,0.050749548,has_bile_spilt,0.048327863,has_stones_spilt,0.04637345,pre_indication_tg,0.046066977
93,4.0,0.043010752688172046,0.8707865168539326,0.19270833333333331,PH,0,op_anaes_regional_Spine-related,0.09057164,has_bleeding,0.08713014,admission_prior,0.07830757,op_nassar,0.07022688,asa,0.068696655,age_years,0.06716652,pre_urgency_Elective,0.06613563,op_contam,0.05654449,op_performed_stc_nan,0.0534661,comorb_n,0.052711632
93,11.0,0.11827956989247312,0.7937915742793792,0.49423118834693713,SA,2,admission_prior,0.09753161,has_bleeding,0.09172203,op_anaes_regional_Spine-related,0.08018948,asa,0.0758902,pre_urgency_Elective,0.0743964,op_performed_stc_nan,0.0743515,age_years,0.070997775,has_bile_spilt,0.054218687,op_contam,0.051531535,op_anaes_inhaled_Sevoflurane,0.03676684
85,7.0,0.08235294117647059,0.7985347985347986,0.41059121182072006,TN,0,op_anaes_regional_Spine-related,0.12495085,has_bleeding,0.10213754,age_years,0.077656016,asa,0.07454487,admission_prior,0.071184546,op_performed_stc_nan,0.061775737,pre_urgency_Elective,0.059200488,op_contam,0.05389208,op_nassar,0.05125375,op_anaes_inhaled_Sevoflurane,0.049208585
79,7.0,0.08860759493670886,0.6646825396825398,0.15872202604446034,PE,1,admission_prior,0.09678692,pre_urgency_Elective,0.07324725,op_nassar,0.066959076,op_performed_stc_nan,0.060144883,asa,0.059789494,has_bile_spilt,0.05759276,comorb_n,0.056615215,pre_indication_tg,0.052840166,op_contam,0.050722413,has_bleeding,0.04959709
72,10.0,0.1388888888888889,0.653225806451613,0.28051700680272107,SE,2,admission_prior,0.100040466,pre_urgency_Elective,0.082002595,has_bleeding,0.06362581,asa,0.059943214,op_performed_stc_nan,0.05840207,has_bile_spilt,0.057326198,pre_indication_tg,0.05593758,op_nassar,0.05447846,op_cbd_explore_No,0.050305955,frailty,0.04837692
61,8.0,0.13114754098360656,0.8325471698113208,0.477858826996758,LY,1,admission_prior,0.10960184,pre_urgency_Elective,0.0915043,op_performed_stc_nan,0.079598136,asa,0.068971865,has_bleeding,0.06498889,has_bile_spilt,0.06414675,pre_indication_tg,0.058743108,op_operator_cons_General,0.052040666,op_cbd_explore_No,0.05006342,age_years,0.04807544
47,6.0,0.1276595744680851,0.6260162601626016,0.22004939504939505,NZ,2,admission_prior,0.103312746,pre_urgency_Elective,0.08642261,has_bleeding,0.08508738,op_performed_stc_nan,0.075098954,asa,0.0704701,age_years,0.06610509,op_anaes_regional_Spine-related,0.06341208,has_bile_spilt,0.058921617,pre_indication_tg,0.049112108,op_contam,0.046154905
47,7.0,0.14893617021276595,0.6214285714285714,0.2590562233549011,MY,1,admission_prior,0.08432746,has_bleeding,0.08259429,op_anaes_regional_Spine-related,0.07656042,pre_urgency_Elective,0.07468414,asa,0.06959835,age_years,0.0645979,op_performed_stc_nan,0.061095927,op_contam,0.056345817,has_bile_spilt,0.048639763,pre_indication_tg,0.044930167
46,7.0,0.15217391304347827,0.7106227106227105,0.5823412698412698,HR,2,op_anaes_inhaled_Sevoflurane,0.22922897,admission_prior,0.08248373,pre_urgency_Elective,0.067936,has_bleeding,0.05203027,op_performed_stc_nan,0.05022539,has_bile_spilt,0.05018904,asa,0.048134483,pre_indication_tg,0.04417033,op_cbd_explore_No,0.042347282,age_years,0.038222086
44,8.0,0.18181818181818182,0.7569444444444445,0.7540178571428571,JO,0,admission_prior,0.0929017,has_bleeding,0.09111907,op_cvs_to,0.08666561,op_anaes_regional_Spine-related,0.07547417,age_years,0.07424684,op_performed_stc_nan,0.07079302,asa,0.063476995,op_anaes_inhaled_Sevoflurane,0.06319008,pre_urgency_Elective,0.062082063,has_bile_spilt,0.052694775
44,3.0,0.06818181818181818,0.878048780487805,0.34090909090909094,DE,2,admission_prior,0.09579334,has_bleeding,0.07887479,pre_urgency_Elective,0.07359868,op_anaes_regional_Spine-related,0.065815896,age_years,0.065334305,asa,0.06413734,has_bile_spilt,0.058323387,op_performed_stc_nan,0.057197418,op_contam,0.050234817,op_cbd_explore_No,0.045728866
38,6.0,0.15789473684210525,0.671875,0.49281696564305255,BA,1,admission_prior,0.11219039,has_bleeding,0.0884703,op_performed_stc_nan,0.075406365,pre_urgency_Elective,0.07173895,age_years,0.069662556,asa,0.06624986,has_bile_spilt,0.06581276,op_anaes_regional_Spine-related,0.058211952,op_anaes_inhaled_Sevoflurane,0.046692222,op_contam,0.042645015
37,0.0,0.0,,,CN,1,op_anaes_regional_Spine-related,0.11842217,has_bleeding,0.1009664,asa,0.08626064,age_years,0.08562014,op_contam,0.07354729,op_performed_stc_nan,0.06623884,bmi,0.05811316,admission_prior,0.05757419,pre_urgency_Elective,0.057405878,op_anaes_inhaled_Sevoflurane,0.053797986
35,9.0,0.2571428571428571,0.6153846153846153,0.38560016599232283,BR,1,admission_prior,0.09922969,op_nassar,0.07123727,pre_urgency_Elective,0.070010684,has_bile_spilt,0.06631794,comorb_n,0.063599035,op_cbd_explore_No,0.06130078,frailty,0.060999837,hist_ac,0.059714694,pre_indication_tg,0.058137525,asa,0.05332984
34,3.0,0.08823529411764706,0.6129032258064516,0.15595238095238095,AR,1,admission_prior,0.103079066,op_nassar,0.097741544,comorb_n,0.08585045,op_cvs_to,0.08430037,has_bile_spilt,0.066282004,hist_ac,0.060311332,pre_urgency_Elective,0.05972612,frailty,0.058909964,op_cbd_explore_No,0.053322446,op_contam,0.05130601
33,3.0,0.09090909090909091,0.5777777777777777,0.25555555555555554,RU,1,admission_prior,0.08514731,pre_urgency_Elective,0.08084265,has_bleeding,0.065544285,asa,0.060569096,op_nassar,0.05761999,op_contam,0.05652678,op_performed_stc_nan,0.05482562,pre_indication_tg,0.05446102,op_anaes_regional_Spine-related,0.049467064,comorb_n,0.049263664
32,4.0,0.125,0.7142857142857142,0.2851449275362319,CZ,2,admission_prior,0.104764044,pre_urgency_Elective,0.08344783,has_bile_spilt,0.06425019,has_bleeding,0.063462846,asa,0.062315445,op_performed_stc_nan,0.058894306,pre_indication_tg,0.05720173,op_cbd_explore_No,0.05529766,frailty,0.049944475,age_years,0.04837042
31,4.0,0.12903225806451613,0.8611111111111112,0.5714285714285714,PL,2,admission_prior,0.10823562,pre_urgency_Elective,0.092153564,has_bleeding,0.08206851,op_performed_stc_nan,0.07938962,asa,0.07060935,age_years,0.06257665,op_anaes_regional_Spine-related,0.061453428,has_bile_spilt,0.05843043,pre_indication_tg,0.05096093,op_operator_cons_General,0.046798762
31,6.0,0.1935483870967742,0.7000000000000001,0.30355796164619697,CA,2,op_cvs_to,0.12711906,admission_prior,0.10623604,comorb_n,0.10053185,op_nassar,0.09854132,has_bile_spilt,0.06880215,hist_ac,0.061829038,frailty,0.056361336,has_stones_spilt,0.05300627,op_cbd_explore_No,0.05242984,op_contam,0.049256843
30,9.0,0.3,0.8624338624338624,0.7227072310405644,ET,0,op_cvs_to,0.15865523,admission_prior,0.123363405,has_bile_spilt,0.08366498,hist_ac,0.07069751,comorb_n,0.068274066,op_nassar,0.06077306,frailty,0.05151884,asa,0.047292575,pre_urgency_Elective,0.044470344,op_cbd_explore_No,0.04326616
29,3.0,0.10344827586206896,0.8076923076923077,0.6143790849673203,MA,0,op_nassar,0.1838808,comorb_n,0.09134714,admission_prior,0.07727612,op_cvs_to,0.07578145,pre_urgency_Elective,0.05686202,has_bleeding,0.053161763,op_contam,0.05041606,asa,0.049339104,op_anaes_regional_Spine-related,0.042372584,age_years,0.03927668
29,11.0,0.3793103448275862,0.7222222222222222,0.6815472453243351,SD,0,admission_prior,0.15461463,has_bile_spilt,0.099670775,hist_ac,0.08724449,op_nassar,0.08518701,comorb_n,0.073783375,op_cvs_to,0.06664041,frailty,0.057901636,asa,0.054414485,op_contam,0.045352936,op_cbd_explore_No,0.042930994
29,2.0,0.06896551724137931,0.7962962962962964,0.25757575757575757,HU,2,pre_urgency_Elective,0.088679925,admission_prior,0.084910944,has_bleeding,0.06501374,pre_indication_tg,0.06311419,op_cbd_explore_No,0.058683492,asa,0.057691958,op_performed_stc_nan,0.0568248,op_contam,0.053366657,frailty,0.051195502,has_bile_spilt,0.049643833
27,9.0,0.3333333333333333,0.9197530864197531,0.8487093153759822,UA,0,op_cvs_to,0.14635982,op_nassar,0.13381572,has_stones_spilt,0.10048974,admission_prior,0.09681096,comorb_n,0.09639371,has_bile_spilt,0.05139658,pre_urgency_Elective,0.04202699,hist_ac,0.040533643,op_contam,0.04002268,frailty,0.039653484
25,4.0,0.16,0.5238095238095238,0.19808612440191387,YE,0,admission_prior,0.10906152,has_bleeding,0.086966716,op_performed_stc_nan,0.07682339,pre_urgency_Elective,0.06954152,age_years,0.065556966,asa,0.06472806,op_anaes_regional_Spine-related,0.06031709,has_bile_spilt,0.05973594,op_anaes_inhaled_Sevoflurane,0.049330387,op_cvs_to,0.0475546
23,23.0,1.0,,,TW,2,has_stones_spilt,0.47139996,op_cvs_to,0.4632514,comorb_n,0.020727225,op_nassar,0.015565394,admission_prior,0.014039637,op_contam,0.007206867,has_bile_spilt,0.0061664497,hist_ac,0.00065924024,op_anaes_inhaled_Sevoflurane,0.00046100962,frailty,0.00031700125
22,3.0,0.13636363636363635,0.6491228070175439,0.2547008547008547,GT,1,op_nassar,0.11998389,comorb_n,0.084217936,admission_prior,0.073373884,pre_urgency_Elective,0.07292549,op_cvs_to,0.06620384,op_contam,0.061883565,pre_indication_tg,0.05484022,frailty,0.05362263,asa,0.049779627,has_bleeding,0.04541363
22,2.0,0.09090909090909091,0.625,0.3125,ZA,1,admission_prior,0.08213453,pre_urgency_Elective,0.06359233,has_bleeding,0.063210204,asa,0.05960126,op_nassar,0.059080303,op_anaes_regional_Spine-related,0.05689155,op_contam,0.056719407,comorb_n,0.05651282,op_cvs_to,0.05245844,age_years,0.05117387
21,3.0,0.14285714285714285,0.25925925925925924,0.14761904761904762,LK,0,admission_prior,0.09093647,pre_urgency_Elective,0.07300286,op_nassar,0.061208826,has_bile_spilt,0.060669534,op_cbd_explore_No,0.057684366,frailty,0.057663582,pre_indication_tg,0.05760323,asa,0.056414843,comorb_n,0.05612178,op_contam,0.054918256
21,4.0,0.19047619047619047,0.9117647058823528,0.85,CH,2,admission_prior,0.09547379,pre_urgency_Elective,0.07991129,has_bleeding,0.06831336,op_performed_stc_nan,0.061982807,asa,0.061382737,op_nassar,0.059218127,op_anaes_regional_Spine-related,0.055559177,age_years,0.055408843,has_bile_spilt,0.052364856,pre_indication_tg,0.05146445
20,1.0,0.05,0.9473684210526316,0.5,LT,2,pre_urgency_Elective,0.07984646,admission_prior,0.07442663,op_nassar,0.06629891,has_bleeding,0.065980844,op_contam,0.06014169,asa,0.058611233,pre_indication_tg,0.056259356,comorb_n,0.053156167,op_anaes_regional_Spine-related,0.051775657,bmi,0.050391875
20,0.0,0.0,,,LV,2,op_nassar,0.08154305,pre_urgency_Elective,0.07634823,admission_prior,0.06992382,comorb_n,0.06258808,has_bleeding,0.058292,pre_indication_tg,0.058023572,op_contam,0.057421334,asa,0.05326557,frailty,0.05088944,bmi,0.04995
19,0.0,0.0,,,RS,1,admission_prior,0.09302253,pre_urgency_Elective,0.08840387,pre_indication_tg,0.06731365,op_cbd_explore_No,0.06409644,frailty,0.05856438,has_bile_spilt,0.058363445,asa,0.057422765,op_performed_stc_nan,0.054542214,has_bleeding,0.05247749,op_contam,0.049145777
19,2.0,0.10526315789473684,0.2647058823529412,0.10427807486631016,OM,2,admission_prior,0.09613991,pre_urgency_Elective,0.08599771,has_bleeding,0.07604936,op_performed_stc_nan,0.06397551,asa,0.062204186,age_years,0.057489075,has_bile_spilt,0.056360394,pre_indication_tg,0.05496502,op_anaes_regional_Spine-related,0.052040763,op_cbd_explore_No,0.050683435
